doc_id,title,doc_type,authority,url,effective_date,status,parent_doc_id,notes
INS-TAK-004,Standard Re Charter of Internal Shari'ah Supervision Committee for Takaful Insurance Companies,standard,CBUAE,https://rulebook.centralbank.ae/en/rulebook/standard-re-charter-internal-shari%E2%80%99ah-supervision-committee-takaful-insurance-companies,,,,
INS-TAK-005,Standard Re External Shari'ah Audit for Takaful Insurance Companies,standard,CBUAE,https://rulebook.centralbank.ae/en/rulebook/standard-re-external-shari%E2%80%99ah-audit-takaful-insurance-companies,,,,
INS-TAK-006,Standard Re the Operational Model of Takaful Insurance,standard,CBUAE,https://rulebook.centralbank.ae/en/rulebook/standard-re-operational-model-takaful-insurance,,,,
INS-TAK-007,Standard of Shari'ah and Procedural Requirements for Agency (Wakala) in Takaful Insurance,standard,CBUAE,https://rulebook.centralbank.ae/en/rulebook/standard-shari%E2%80%99ah-and-procedural-requirements-agency-wakala-takaful-insurance,,,,
INS-TAK-008,Standard Re Controls and Procedures Establishing Takaful Insurance Fund,standard,CBUAE,https://rulebook.centralbank.ae/en/rulebook/standard-re-controls-and-procedures-establishing-takaful-insurance-fund,,,,
INS-CON-001,Insurance Authority Board Resolution No. (33) of 2019 Concerning the Regulation of the Committees for the Settlement and Resolution of Insurance Disputes,resolution,CBUAE,https://rulebook.centralbank.ae/en/rulebook/insurance-authority-board-resolution-no-33-2019-concerning-regulation-committees,,,,
INS-CON-002,Insurance Authority Board Resolution No. 3 of 2010 Instructions Concerning the Code of Conduct and Ethics,resolution,CBUAE,https://rulebook.centralbank.ae/en/rulebook/insurance-authority-board-resolution-no-3-2010-instructions-concerning-code-conduct-and,,,,
INS-CON-003,Administrative Decision No. (140) of 2019 Concerning the Exclusion of Some Insurance Policies From the Requirement of Being Written in the Arabic Language,decision,CBUAE,https://rulebook.centralbank.ae/en/rulebook/administrative-decision-no-140-2019-concerning-exclusion-some-insurance-policies,,,,
INS-CON-004,Insurance Authority Board of Directors' Decision No. (49) of 2019 Concerning Instructions for Life Insurance and Family Takaful Insurance,decision,CBUAE,https://rulebook.centralbank.ae/en/rulebook/insurance-authority-board-directors%E2%80%99-decision-no-49-2019-concerning-instructions-life,,,,
INS-CON-005,Insurance Authority Board of Directors' Decision No. (41) of 2019 Concerning the Supervisory Rules for the Experimental Environment of Financial Technology in the Insurance Industry,decision,CBUAE,https://rulebook.centralbank.ae/en/rulebook/insurance-authority-board-directors-decision-no-41-2019-concerning-supervisory-rules,,,,
INS-CON-006,Insurance Authority Board of Directors' Resolution No. (18) of 2020 Concerning the Electronic Insurance Regulations,resolution,CBUAE,https://rulebook.centralbank.ae/en/rulebook/insurance-authority-board-directors-resolution-no-18-2020-concerning-electronic-insurance,,,,
INS-CON-007,Insurance Authority Board of Directors Resolution No. (11) of 2016 Concerning the Revision of the Pricing Policy Applied by a Company in the Classes of Property and Liability Insurance,resolution,CBUAE,https://rulebook.centralbank.ae/en/rulebook/insurance-authority-board-directors-resolution-no-11-2016-concerning-revision-pricing,,,,
INS-SAN-001,Cabinet Resolution No. (7) of 2019 Concerning the Administrative Fines Imposed by the Insurance Authority,resolution,CBUAE,https://rulebook.centralbank.ae/en/rulebook/cabinet-resolution-no-7-2019-concerning-administrative-fines-imposed-insurance-authority,,,,
INS-SAN-002,Insurance Authority Board of Directors' Resolution No. (25) of 2020 Concerning the Grievance Procedures Against Administrative Fines,resolution,CBUAE,https://rulebook.centralbank.ae/en/rulebook/insurance-authority-ia-board-directors%E2%80%99-resolution-no-25-2020-concerning-grievance,,,,
INS-SAN-003,Insurance Authority Board of Directors Resolution No. (12) of 2016 Concerning the Elapse of the Impact of the Disciplinary Sanctions Imposed on Insurance-Related Professions,resolution,CBUAE,https://rulebook.centralbank.ae/en/rulebook/insurance-authority-board-directors-resolution-no-12-2016-concerning-elapse-impact,,,,
INS-MOT-001,Insurance Authority Board of Directors' Decision No. (25) of 2016 Pertinent to Regulation of the Unified Motor Vehicle Insurance Policies,decision,CBUAE,https://rulebook.centralbank.ae/en/rulebook/insurance-authority-board-directors-decision-no-25-2016-pertinent-regulation-unified-motor,,,,
INS-MOT-002,The Unified Motor Vehicle Insurance Policy Against Loss and Damage,policy,CBUAE,https://rulebook.centralbank.ae/en/rulebook/unified-motor-vehicle-insurance-policy-against-loss-and-damage-issued-pursuant-regulation,,,,
INS-MOT-003,The Unified Motor Vehicle Insurance Policy Against Third Party Liability,policy,CBUAE,https://rulebook.centralbank.ae/en/rulebook/unified-motor-vehicle-insurance-policy-against-third-party-liability-issued-pursuant,,,,
INS-MOT-004,Insurance Authority Board of Directors' Decision No. (30) of 2016 Concerning issuing Regulation for Motor Vehicle Insurance Tariffs,decision,CBUAE,https://rulebook.centralbank.ae/en/rulebook/insurance-authority-board-directors%E2%80%99-decision-no-30-2016-concerning-issuing-regulation,,,,
INS-OTH-001,Insurance Authority's Board of Directors Decision No. (23) of 2019 Concerning Instructions Organizing Reinsurance Operations,decision,CBUAE,https://rulebook.centralbank.ae/en/rulebook/insurance-authority%E2%80%99s-board-directors-decision-no23-2019-concerning-instructions,,,,
INS-OTH-002,Insurance Authority Board of Directors Resolution No. (10) of 2016 Concerning the Instructions on Regulating the Business of the Existing Licensed Composite Insurance Companies,resolution,CBUAE,https://rulebook.centralbank.ae/en/rulebook/insurance-authority-board-directors-resolution-no-10-2016-concerning-instructions,,,,
INS-OTH-003,Insurance Group Supervision Regulation,regulation,CBUAE,https://rulebook.centralbank.ae/en/rulebook/insurance-group-supervision-regulation,,,,
INS-OTH-004,Representation Offices Regulation,regulation,CBUAE,https://rulebook.centralbank.ae/en/rulebook/representation-offices-regulation,,,,
